timestamp,key,structure,time_ms,size_bytes
2026-02-10T11:10:23.862Z,F,AABA,402,223
2026-02-10T11:10:25.416Z,Bb,AABA,416,224
2026-02-10T11:10:26.959Z,C,AABA,410,248
2026-02-10T11:10:28.552Z,Ab,AABC,388,318
2026-02-10T11:10:30.110Z,Dmin,AAB,409,173
2026-02-10T11:10:31.637Z,Dmin,AABC,386,277
2026-02-10T11:10:33.185Z,Eb,AAB,408,239
2026-02-10T11:10:34.807Z,Bb,AABA,397,235
2026-02-10T11:10:36.409Z,Bb,AB,405,233
2026-02-10T11:10:38.349Z,Bb,AAB,400,208
2026-02-10T11:10:39.828Z,Eb,A,376,153
2026-02-10T11:10:41.712Z,G,ABAC,381,296
2026-02-10T11:10:43.294Z,D,AABA,414,263
2026-02-10T11:10:44.863Z,G,AABAA,427,220
2026-02-10T11:10:46.430Z,Bb,iAA,403,241
2026-02-10T11:10:47.993Z,Ab,AA,399,127
2026-02-10T11:10:48.770Z,Bmin,AABA,404,436
2026-02-10T11:10:50.836Z,Eb,ABAC,392,299
2026-02-10T11:10:52.418Z,F,AAB,431,294
2026-02-10T11:10:53.935Z,C,AAB,403,181
2026-02-10T11:10:55.456Z,Eb,AAB,406,220
2026-02-10T11:10:57.036Z,Eb,AAB,400,272
2026-02-10T11:10:58.646Z,F,AABA,399,213
2026-02-10T11:10:59.449Z,Dmin,ABAC,414,272
2026-02-10T11:11:01.069Z,Bb,AABBA,402,266
2026-02-10T11:11:02.571Z,C,ABAC,386,302
2026-02-10T11:11:04.118Z,G,ABAC,403,306
2026-02-10T11:11:05.725Z,Fmin,AABACAA,401,262
2026-02-10T11:11:07.261Z,C,AAB,382,207
2026-02-10T11:11:08.789Z,Bb,AABA,398,213
2026-02-10T11:11:10.342Z,F,A,385,174
2026-02-10T11:11:11.918Z,Eb,AA,392,124
2026-02-10T11:11:13.453Z,Bb,AABA,402,177
2026-02-10T11:11:14.971Z,C,A,399,118
2026-02-10T11:11:16.505Z,F,AABC,424,291
2026-02-10T11:11:17.339Z,Fmin,AA,396,148
2026-02-10T11:11:18.870Z,Eb,AAB,407,212
2026-02-10T11:11:20.363Z,F,AABA,387,208
2026-02-10T11:11:21.902Z,F,AB,399,254
2026-02-10T11:11:23.433Z,C,AABA,402,227
2026-02-10T11:11:24.938Z,C,ABAC,371,341
2026-02-10T11:11:26.518Z,A,ABAC,393,341
2026-02-10T11:11:28.144Z,Dmin,iiAABA,416,324
2026-02-10T11:11:29.740Z,G,AABA,393,285
2026-02-10T11:11:31.275Z,F#min,AABA,404,205
2026-02-10T11:11:32.876Z,Eb,AABA,425,207
2026-02-10T11:11:34.415Z,Eb,AABA,388,220
2026-02-10T11:11:35.956Z,Bb,ABBD,398,280
2026-02-10T11:11:37.523Z,Fmin,AABA,393,217
2026-02-10T11:11:39.034Z,Bb,AABA,397,316
2026-02-10T11:11:40.956Z,F,ABA,413,164
2026-02-10T11:11:42.480Z,F,AAB,395,255
2026-02-10T11:11:44.007Z,Ab,AABA,387,246
2026-02-10T11:11:45.559Z,Eb,AA,410,129
2026-02-10T11:11:47.104Z,C,ABAC,404,359
2026-02-10T11:11:48.672Z,G,AABA,409,249
2026-02-10T11:11:50.234Z,Eb,A,377,153
2026-02-10T11:11:51.790Z,Gmin,ABAB,407,257
2026-02-10T11:11:53.285Z,Eb,AB,371,232
2026-02-10T11:11:54.835Z,Ab,ABAC,420,398
2026-02-10T11:11:55.678Z,G,AB,413,206
2026-02-10T11:11:56.498Z,C,iA,407,229
2026-02-10T11:11:58.392Z,Bb,iiAABC,387,362
2026-02-10T11:12:00.372Z,F,AABA,393,202
2026-02-10T11:12:01.934Z,C,ABAC,411,289
2026-02-10T11:12:03.505Z,Eb,vAABC,400,522
2026-02-10T11:12:05.441Z,Eb,A,384,154
2026-02-10T11:12:06.988Z,C,vAABBCA,396,366
2026-02-10T11:12:08.597Z,Eb,AABA,397,275
2026-02-10T11:12:10.184Z,C,AABA,404,285
2026-02-10T11:12:11.764Z,D,AABCA,387,388
2026-02-10T11:12:13.366Z,F,A,403,151
2026-02-10T11:12:14.911Z,Eb,iAA,399,206
2026-02-10T11:12:16.458Z,G,iABCDAAAA,393,567
2026-02-10T11:12:18.076Z,C#min,AB,402,234
2026-02-10T11:12:19.573Z,F,AB,391,201
2026-02-10T11:12:21.107Z,F,AABA,401,293
2026-02-10T11:12:22.695Z,G,AB,367,197
2026-02-10T11:12:24.224Z,C,A,403,144
2026-02-10T11:12:25.795Z,Eb,AA,383,122
2026-02-10T11:12:27.334Z,C,AABAA,400,173
2026-02-10T11:12:28.906Z,F,vAB,389,371
2026-02-10T11:12:30.554Z,Bb,AAB,398,288
2026-02-10T11:12:32.179Z,C,A,417,143
2026-02-10T11:12:33.696Z,F,AA,398,88
2026-02-10T11:12:35.227Z,Bb,AAB,414,238
2026-02-10T11:12:36.085Z,Ab,ABC,421,364
2026-02-10T11:12:37.639Z,F,AABA,396,215
2026-02-10T11:12:39.234Z,Fmin,A,398,146
2026-02-10T11:12:40.762Z,F,A,386,117
2026-02-10T11:12:42.302Z,F,AABA,396,216
2026-02-10T11:12:43.896Z,F,AABA,393,195
2026-02-10T11:12:45.395Z,C,AABC,389,296
2026-02-10T11:12:46.981Z,Fmin,AABA,403,240
2026-02-10T11:12:48.517Z,Bb,A,391,137
2026-02-10T11:12:50.065Z,C,ABA,426,192
2026-02-10T11:12:51.586Z,C,A,385,124
2026-02-10T11:12:53.110Z,F,AABA,391,274
2026-02-10T11:12:54.695Z,Ab,ABB,402,233
2026-02-10T11:12:56.248Z,Eb,A,386,105
2026-02-10T11:12:57.772Z,F,AA,421,165
2026-02-10T11:12:59.353Z,F,AABA,400,266
2026-02-10T11:13:00.879Z,Db,AB,388,197
2026-02-10T11:13:02.392Z,Eb,ABBCAAA,400,352
2026-02-10T11:13:03.963Z,Ebmin,AABAC,403,287
2026-02-10T11:13:05.478Z,G,AAB,394,200
2026-02-10T11:13:07.028Z,Cmin,ABAC,390,306
2026-02-10T11:13:08.662Z,E,AA,401,158
2026-02-10T11:13:10.185Z,Ab,BBAA,373,230
2026-02-10T11:13:11.759Z,D,vAABA,401,326
2026-02-10T11:13:13.349Z,Eb,AABA,388,283
2026-02-10T11:13:14.946Z,Bb,AB,417,176
2026-02-10T11:13:16.490Z,Bb,AABA,394,214
2026-02-10T11:13:18.051Z,F,A,405,139
2026-02-10T11:13:19.493Z,Ab,AABA,406,288
2026-02-10T11:13:21.018Z,C,AABA,384,309
2026-02-10T11:13:22.590Z,Ab,AABA,384,289
2026-02-10T11:13:24.127Z,Amin,AABA,401,366
2026-02-10T11:13:25.693Z,G,ABAC,393,324
2026-02-10T11:13:27.208Z,Db,AAA,385,155
2026-02-10T11:13:30.756Z,C,BBAA,401,247
2026-02-10T11:13:32.305Z,Bb,vAABC,421,533
2026-02-10T11:13:33.914Z,C,ABCD,385,379
2026-02-10T11:13:35.572Z,Eb,AB,415,231
2026-02-10T11:13:37.115Z,F,AABA,409,256
2026-02-10T11:13:38.700Z,Eb,ABAA,395,240
2026-02-10T11:13:40.219Z,F,A,392,108
2026-02-10T11:13:41.731Z,Eb,ABAC,400,337
2026-02-10T11:13:43.276Z,Amin,AABA,379,281
2026-02-10T11:13:44.869Z,Eb,AAAA,415,156
2026-02-10T11:13:46.378Z,F,AAB,396,189
2026-02-10T11:13:47.884Z,Eb,ABCD,386,482
2026-02-10T11:13:49.448Z,C,ABAC,403,327
2026-02-10T11:13:51.041Z,Eb,AA,401,147
2026-02-10T11:13:52.592Z,C,AB,427,225
2026-02-10T11:13:54.191Z,F,AABA,414,242
2026-02-10T11:13:56.202Z,Bb,ABBCA,414,299
2026-02-10T11:13:57.810Z,Fmin,AABA,407,291
2026-02-10T11:13:59.364Z,Bb,iiAABAA,404,330
2026-02-10T11:14:00.975Z,Eb,ABAB,394,285
2026-02-10T11:14:02.480Z,Eb,iAA,403,250
2026-02-10T11:14:04.057Z,Ab,AABA,392,269
2026-02-10T11:14:05.649Z,Eb,AABAA,400,208
2026-02-10T11:14:07.176Z,Amin,AABA,391,220
2026-02-10T11:14:08.774Z,F,AABCC,399,356
2026-02-10T11:14:10.378Z,G,AAABA,386,222
2026-02-10T11:14:11.926Z,G#min,ABA,408,260
2026-02-10T11:14:13.509Z,F,AABC,419,334
2026-02-10T11:14:15.129Z,F,AABA,424,264
2026-02-10T11:14:16.690Z,Db,ABCD,386,369
2026-02-10T11:14:18.287Z,Eb,AABAC,397,436
2026-02-10T11:14:19.857Z,C,AAAB,394,255
2026-02-10T11:14:21.391Z,Fmin,AABA,413,215
2026-02-10T11:14:22.954Z,Amin,AABA,423,217
2026-02-10T11:14:24.496Z,Gmin,AABA,405,247
2026-02-10T11:14:26.111Z,Cmin,ABAC,404,325
2026-02-10T11:14:27.650Z,Eb,ABAC,402,377
2026-02-10T11:14:29.301Z,F,AABA,400,173
2026-02-10T11:14:30.900Z,Bb,AABC,428,365
2026-02-10T11:14:32.463Z,Eb,iiAB,410,367
2026-02-10T11:14:34.084Z,Eb,AAB,395,249
2026-02-10T11:14:35.696Z,Eb,iiAABAA,385,305
2026-02-10T11:14:37.311Z,Bb,AABA,393,234
2026-02-10T11:14:38.903Z,Cmin,AABA,407,200
2026-02-10T11:14:40.462Z,Ab,AABA,386,196
2026-02-10T11:14:42.052Z,F,AABA,430,198
2026-02-10T11:14:43.593Z,Bb,ABCDAA,402,382
2026-02-10T11:14:45.212Z,Eb,AA,387,147
2026-02-10T11:14:46.724Z,Ab,AABA,406,223
2026-02-10T11:14:48.687Z,C,BBAA,408,235
2026-02-10T11:14:50.262Z,Bb,ABBCB,394,331
2026-02-10T11:14:51.928Z,C,ABA,414,221
2026-02-10T11:14:53.467Z,C,BBAA,395,137
2026-02-10T11:14:54.985Z,F,A,396,130
2026-02-10T11:14:56.555Z,Dmin,ABCA,415,333
2026-02-10T11:14:58.183Z,Bb,iAABA,397,298
2026-02-10T11:14:59.777Z,G,AABA,415,258
2026-02-10T11:15:01.369Z,C,A,391,123
2026-02-10T11:15:02.917Z,Dmin,ABC,419,351
2026-02-10T11:15:04.561Z,F,AABA,395,182
2026-02-10T11:15:06.100Z,C,AABA,399,215
2026-02-10T11:15:07.686Z,C,ABAB,391,203
2026-02-10T11:15:09.185Z,C,AB,390,203
2026-02-10T11:15:10.741Z,C,ABBCA,388,291
2026-02-10T11:15:12.287Z,Dmin,AB,379,263
2026-02-10T11:15:13.859Z,C,AABA,397,276
2026-02-10T11:15:15.430Z,Eb,ABAC,395,335
2026-02-10T11:15:17.013Z,C,AABAA,404,244
2026-02-10T11:15:18.556Z,C,AABA,380,204
2026-02-10T11:15:20.090Z,F,AABA,405,266
2026-02-10T11:15:21.706Z,G,BBAA,401,218
2026-02-10T11:15:23.237Z,Ab,AABA,388,238
2026-02-10T11:15:24.805Z,Eb,AABA,388,275
2026-02-10T11:15:26.343Z,Ab,AAB,373,213
2026-02-10T11:15:27.819Z,Amin,ABAB,383,215
2026-02-10T11:15:29.395Z,C,AABA,397,246
2026-02-10T11:15:30.901Z,Ab,iAABB,383,321
2026-02-10T11:15:32.479Z,D,AABA,380,257
2026-02-10T11:15:34.086Z,C,AABA,403,239
2026-02-10T11:15:35.634Z,G,A,398,167
2026-02-10T11:15:37.165Z,Fmin,A,386,130
2026-02-10T11:15:38.651Z,Bb,AABA,391,240
2026-02-10T11:15:40.120Z,Eb,A,385,147
2026-02-10T11:15:41.688Z,Cmin,ABC,391,319
2026-02-10T11:15:43.288Z,F,AA,395,120
2026-02-10T11:15:44.845Z,F,AABA,410,215
2026-02-10T11:15:46.404Z,Dmin,AABA,392,326
2026-02-10T11:15:48.028Z,C,AABC,407,299
2026-02-10T11:15:49.561Z,Eb,AABA,404,216
2026-02-10T11:15:51.135Z,G,A,414,109
2026-02-10T11:15:52.779Z,G,vvAAAB,416,328
2026-02-10T11:15:54.335Z,F,ABC,390,455
2026-02-10T11:15:55.929Z,F,AABA,400,249
2026-02-10T11:15:57.490Z,Fmin,AB,392,234
2026-02-10T11:15:59.029Z,Gmin,AABA,393,263
2026-02-10T11:16:00.553Z,F,A,402,150
2026-02-10T11:16:02.052Z,F,AABA,422,234
2026-02-10T11:16:03.594Z,Ab,AABA,414,221
2026-02-10T11:16:05.110Z,Cmin,AABBA,390,273
2026-02-10T11:16:06.892Z,Eb,BBAA,480,200
2026-02-10T11:16:08.736Z,F,AABA,480,179
2026-02-10T11:16:10.521Z,Bb,BBAA,481,268
2026-02-10T11:16:12.386Z,G,AABA,493,297
2026-02-10T11:16:14.246Z,Dmin,AABA,485,233
2026-02-10T11:16:16.051Z,Emin,ABB,464,257
2026-02-10T11:16:17.912Z,Bb,AABACAA,502,298
2026-02-10T11:16:19.749Z,Bb,ABCA,468,304
2026-02-10T11:16:21.623Z,F,ABAA,502,232
2026-02-10T11:16:23.425Z,C,AABA,494,222
2026-02-10T11:16:25.209Z,Bb,BBAA,483,220
2026-02-10T11:16:27.019Z,G,AABA,476,258
2026-02-10T11:16:28.847Z,Fmin,AABA,467,225
2026-02-10T11:16:30.696Z,F,AABA,480,269
2026-02-10T11:16:32.545Z,Emin,AABA,494,250
2026-02-10T11:16:34.371Z,Ab,AAB,472,212
2026-02-10T11:16:36.195Z,G,BBAA,481,203
2026-02-10T11:16:38.018Z,Eb,AB,460,239
2026-02-10T11:16:39.796Z,C,iiAABA,482,310
2026-02-10T11:16:41.614Z,F,ABAC,472,279
2026-02-10T11:16:43.445Z,Db,ABCB,467,435
2026-02-10T11:16:44.470Z,F,AABAA,486,209
2026-02-10T11:16:46.304Z,F,AABA,479,275
2026-02-10T11:16:48.171Z,G,iiA,471,189
2026-02-10T11:16:50.011Z,G,AABA,483,193
2026-02-10T11:16:51.842Z,C,AABA,519,248
2026-02-10T11:16:53.642Z,G,AABA,491,239
2026-02-10T11:16:55.494Z,Db,AABA,513,214
2026-02-10T11:16:57.297Z,A,ABB,495,279
2026-02-10T11:16:59.135Z,C,ABCD,486,452
