key;structure;modulation;num_sections;response_size_bytes;response_json;computation_time_ms
Random;A;Random;1;137;{""key"":""Ab"",""structure"":""A"",""sections"":[{""chords"":""Fm7,Bbm7|Eb7,Cm7|F7,Bbm7|Eb7|Abmaj7|Cm7b5|F7b13,Bb13|Bb7b13"",""label"":""A"",""key"":""Ab""}]};870
Random;A;Random;1;178;{""key"":""C"",""structure"":""A"",""sections"":[{""chords"":""C6,C6|G7,Em7,A7b13,Dm7|Fm7,Dm7b5|G7,Cmaj7,Db7#11,Cmaj7|G7,Cmaj7|Cmaj7,G7#5,Bb9,C6|F#m7b5|B7|E|A|D|C,G7"",""label"":""A"",""key"":""C""}]};729
Random;A;Random;1;155;{""key"":""Emin"",""structure"":""A"",""sections"":[{""chords"":""Em,C7#11|Em,Em|C7#11,B9|B7b13,F#m7b5|Fm7,Bb7|Am7,Em11|Em7,Em7,Cmaj7|Cmaj7"",""label"":""A"",""key"":""Emin""}]};780
Random;A;Random;1;119;{""key"":""Dmin"",""structure"":""A"",""sections"":[{""chords"":""Dm|Bb7|A7b9|Dm|C7sus|C7sus|A7b9,Dm|D7"",""label"":""A"",""key"":""Dmin""}]};749
Random;A;Random;1;141;{""key"":""Ab"",""structure"":""A"",""sections"":[{""chords"":""Abmaj7|F7b9,Bbmaj7|Cm7,Cm7|F7,Bbm7|Amaj7|Gmaj7,Gmaj7|Em7|Am7,D7"",""label"":""A"",""key"":""Ab""}]};764
Random;A;Random;1;141;{""key"":""G"",""structure"":""A"",""sections"":[{""chords"":""Gmaj7|Am7|D7|G6|Gmaj7|Gmaj7|C7|Em7|Em7|Am7|Eb13|D9|G6|E7#9|Am7|D7"",""label"":""A"",""key"":""G""}]};811
Random;A;Random;1;107;{""key"":""Ab"",""structure"":""A"",""sections"":[{""chords"":""Abmaj7|Fm7|Bb7|Bb7|Eb7|Abmaj7"",""label"":""A"",""key"":""Ab""}]};1090
Random;A;Random;1;89;{""key"":""C"",""structure"":""A"",""sections"":[{""chords"":""C6|Am7|D7|Dm7"",""label"":""A"",""key"":""C""}]};853
Random;A;Random;1;160;{""key"":""Eb"",""structure"":""A"",""sections"":[{""chords"":""Ebmaj7|C7|F7,Fm7|Gm7|C7|F7|Bb7|Ebmaj7|G7b9|Cm7|Bb7|Eb6|Eb6,Bb7|Eb,Eb|Eb,A13#11|Ab7"",""label"":""A"",""key"":""Eb""}]};934
Random;A;Random;1;110;{""key"":""D"",""structure"":""A"",""sections"":[{""chords"":""D6|D6|B7#5#9|Em7|Gm7,C7#11|Em7,Em7"",""label"":""A"",""key"":""D""}]};813
Random;A;Random;1;120;{""key"":""Amin"",""structure"":""A"",""sections"":[{""chords"":""Am|Am,Am|Am|Am|Bm7b5|Am7,Em7|A7|Abmaj7"",""label"":""A"",""key"":""Amin""}]};873
Random;A;Random;1;152;{""key"":""Bb"",""structure"":""A"",""sections"":[{""chords"":""Bbmaj7,Eb7|Dm7|Db7,Gbmaj7|Cm7b5|F7b9|Ab9#11|G7b9|Cm7|F7,Cm7b5|F7b9|Bb6|Bb6"",""label"":""A"",""key"":""Bb""}]};875
Random;A;Random;1;115;{""key"":""F"",""structure"":""A"",""sections"":[{""chords"":""F6|Eb6,F7|Dm7|G7|C7,Gm7|C7,F6|D7|Gm7,C7"",""label"":""A"",""key"":""F""}]};842
Random;A;Random;1;137;{""key"":""C"",""structure"":""A"",""sections"":[{""chords"":""Cmaj7|Am7|Dm7|G7|Gm7|C7|Gmaj7|C7|F6,F6|C7#5,F6|Fm7,Bb7|Em7,A7"",""label"":""A"",""key"":""C""}]};828
Random;A;Random;1;147;{""key"":""F"",""structure"":""A"",""sections"":[{""chords"":""F7|Bbmaj7|G7|Gm7|C7sus|Fmaj7#11|A7|D7|G7|C7|Fmaj7|Fmaj7|Fmaj7|Fmaj7|Gm7"",""label"":""A"",""key"":""F""}]};858
Random;A;Random;1;141;{""key"":""Bbmin"",""structure"":""A"",""sections"":[{""chords"":""Bbm7|Gm7b5|Cm7b5|F7b9,Bbm6|Bbm|Ebm7b5,Ab7|Gb7|C7#5#9,F7#5"",""label"":""A"",""key"":""Bbmin""}]};835
Random;A;Random;1;120;{""key"":""Cmin"",""structure"":""A"",""sections"":[{""chords"":""Fm7,Cm7,Dm7b5,G7b13|Cm,Bbm7,Eb7,Abmaj7"",""label"":""A"",""key"":""Cmin""}]};811
Random;AB;Random;2;193;{""key"":""Eb"",""structure"":""AB"",""sections"":[{""chords"":""Dm7b5|G7b9|Cm7|F7|B7|B7"",""label"":""A"",""key"":""Eb""},{""chords"":""Cmaj7/G,null|,null|,null|,null|,null||null,,null,|null,"",""label"":""B"",""key"":""C""}]};849
Random;AB;Random;2;286;{""key"":""C"",""structure"":""AB"",""sections"":[{""chords"":""Cmaj7,C7b9|Fm6,G7|Em7,Eb07|Dm7,G7|Bb7,C6|C6,G7|Em7,A7b9|Dm7b5,G7"",""label"":""A"",""key"":""C""},{""chords"":""Am,Am|Am,Bm7b5|E7b9,Am,Ab07,Gm7|C7,Fmaj7|Bbmaj7#11,Am9|Abmaj7,Gm,Fm7,Bb7|Ebm7,Bmaj7|E7#11,Ebmaj7,Bb,Dbmaj7"",""label"":""B"",""key"":""Amin""}]};797
Random;AB;Random;2;242;{""key"":""Eb"",""structure"":""AB"",""sections"":[{""chords"":""Am7b5|D7|Db7|Ebmaj7|Ebmaj7|Abmaj7|Fm7|Bb7|Eb6|Fm7|Bb7|Ebmaj7|Ebm7|Bbm|Gb|G"",""label"":""A"",""key"":""Eb""},{""chords"":""D7sus|D7|Gmaj7#11|Gmaj7#11|Gmaj7#11|Am7|Dm7|Dbm7,Cm7"",""label"":""B"",""key"":""Ab""}]};826
