timestamp;time_ms_chords;time_ms_improvisor;info_chords;info_improvisor;size_bytes_chords;size_bytes_improvisor;size_bytes_sent_to_client
2026-02-10T11:09:59.600Z;420;1182;F|ABACA|3;John Coltrane|247|4104;353;4137;4520
2026-02-10T11:10:01.169Z;398;1167;C|AABA|2;John Coltrane|191|3172;203;3205;3438
2026-02-10T11:10:02.705Z;394;1137;Dmin|AABA|2;John Coltrane|263|2208;209;2241;2480
2026-02-10T11:10:04.281Z;418;1153;Cmin|AABA|2;John Coltrane|150|3376;267;3409;3706
2026-02-10T11:10:05.891Z;404;1200;Eb|AABA|2;John Coltrane|203|1904;197;1937;2164
2026-02-10T11:10:07.420Z;413;1111;F|AABA|2;John Coltrane|300|2348;204;2381;2615
2026-02-10T11:10:08.994Z;407;1162;Bb|AABA|2;John Coltrane|168|3212;232;3245;3507
2026-02-10T11:10:10.621Z;416;1205;C|ABAC|3;John Coltrane|286|4012;310;4045;4385
2026-02-10T11:10:12.213Z;392;1195;Eb|ABC|3;John Coltrane|119|6048;321;6081;6432
2026-02-10T11:10:13.808Z;405;1185;C|ABCA|3;John Coltrane|217|5392;404;5425;5859
2026-02-10T11:10:15.768Z;410;1132;Bb|ABB|2;John Coltrane|246|3276;252;3309;3591
2026-02-10T11:10:17.352Z;403;1175;Cmin|AABA|2;John Coltrane|300|2232;200;2265;2495
2026-02-10T11:10:18.882Z;388;1138;Eb|AABA|2;John Coltrane|192|2008;205;2041;2276
2026-02-10T11:10:20.334Z;404;1044;Cmin|AAAB|2;John Coltrane|136|3240;248;3273;3551
2026-02-10T11:10:21.918Z;402;1178;Bb|A|1;John Coltrane|292|1012;117;1045;1192
2026-02-10T11:10:23.454Z;409;1120;C|AAB|2;John Coltrane|276|2672;199;2705;2934
2026-02-10T11:10:24.994Z;405;1131;F|AABA|2;John Coltrane|104|3228;223;3261;3514
2026-02-10T11:10:26.542Z;418;1125;Bb|AABA|2;John Coltrane|228|3068;224;3101;3355
2026-02-10T11:10:28.158Z;412;1198;C|AABA|2;John Coltrane|235|3860;248;3893;4171
2026-02-10T11:10:29.695Z;390;1142;Ab|AABC|3;John Coltrane|259|3492;318;3525;3873
2026-02-10T11:10:31.245Z;413;1133;Dmin|AAB|2;John Coltrane|132|2888;173;2921;3124
2026-02-10T11:10:32.771Z;388;1133;Dmin|AABC|3;John Coltrane|133|5660;277;5693;6000
2026-02-10T11:10:34.404Z;411;1218;Eb|AAB|2;John Coltrane|264|3724;239;3757;4026
2026-02-10T11:10:35.999Z;400;1190;Bb|AABA|2;John Coltrane|270|3604;235;3637;3902
2026-02-10T11:10:37.526Z;406;1116;Bb|AB|2;John Coltrane|193|2564;233;2597;2860
2026-02-10T11:10:39.445Z;403;1094;Bb|AAB|2;John Coltrane|218|2260;208;2293;2531
2026-02-10T11:10:40.928Z;378;1099;Eb|A|1;John Coltrane|238|2492;153;2525;2708
2026-02-10T11:10:42.875Z;383;1162;G|ABAC|3;John Coltrane|296|3800;296;3833;4159
2026-02-10T11:10:44.425Z;416;1130;D|AABA|2;John Coltrane|241|3784;263;3817;4110
2026-02-10T11:10:46.019Z;430;1155;G|AABAA|2;John Coltrane|166|2572;220;2605;2855
2026-02-10T11:10:47.587Z;406;1156;Bb|iAA|2;John Coltrane|274|2600;241;2633;2904
2026-02-10T11:10:50.012Z;406;1241;Bmin|AABA|2;John Coltrane|107|6868;436;6901;7367
2026-02-10T11:10:51.978Z;395;1141;Eb|ABAC|3;John Coltrane|211|3516;299;3549;3878
2026-02-10T11:10:53.526Z;435;1106;F|AAB|2;John Coltrane|146|4984;294;5017;5341
2026-02-10T11:10:55.045Z;405;1108;C|AAB|2;John Coltrane|94|2408;181;2441;2652
2026-02-10T11:10:56.631Z;409;1173;Eb|AAB|2;John Coltrane|219|2372;220;2405;2655
2026-02-10T11:10:58.239Z;402;1202;Eb|AAB|2;John Coltrane|124|4724;272;4757;5059
2026-02-10T11:11:00.661Z;415;1211;Dmin|ABAC|3;John Coltrane|255|3716;272;3749;4051
2026-02-10T11:11:02.179Z;404;1109;Bb|AABBA|2;John Coltrane|169|3812;266;3845;4141
2026-02-10T11:11:03.708Z;388;1136;C|ABAC|3;John Coltrane|178|4208;302;4241;4573
2026-02-10T11:11:05.318Z;405;1198;G|ABAC|3;John Coltrane|122|6236;306;6269;6605
2026-02-10T11:11:06.872Z;404;1146;Fmin|AABACAA|3;John Coltrane|255|3116;262;3149;3441
2026-02-10T11:11:08.386Z;384;1124;C|AAB|2;John Coltrane|140|2756;207;2789;3026
2026-02-10T11:11:09.949Z;400;1158;Bb|AABA|2;John Coltrane|237|3028;213;3061;3304
2026-02-10T11:11:11.521Z;388;1178;F|A|1;John Coltrane|101|4140;174;4173;4377
2026-02-10T11:11:13.045Z;395;1125;Eb|AA|1;John Coltrane|100|1692;124;1725;1879
2026-02-10T11:11:14.565Z;406;1110;Bb|AABA|2;John Coltrane|245|1428;177;1461;1668
